2012-05-18 17:53:08, 192.168.0.202, jinpeng, IM, 密码验证错误! (Error 20002)
2012-05-19 10:56:50, 192.168.0.202, jinpeng, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-05-23 17:13:56, 192.168.0.202, jinpeng, IM, 密码验证错误! (Error 20002)
2012-05-24 09:59:06, 192.168.0.202, jinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-24 09:59:06, 192.168.0.202, jinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-28 10:26:11, 192.168.0.202, wb0009@jx, IM, 网络断开！ (Error 10004)
2012-05-28 10:26:11, 192.168.0.202, wb0009@jx, IM, 网络断开！ (Error 10004)
2012-05-29 10:35:47, 192.168.0.202, wb0009, IM, 用户登录到达最大用户帐号数限制 (Error 20008)
2012-05-29 10:35:58, 192.168.0.202, jinpeng, IM, 用户登录到达最大用户帐号数限制 (Error 20008)
2012-05-29 10:41:04, 192.168.0.202, jinpeng, IM, 用户登录到达最大用户帐号数限制 (Error 20008)
2012-05-29 10:42:03, 192.168.0.202, jinpeng, IM, 用户登录到达最大用户帐号数限制 (Error 20008)
2012-05-29 10:48:25, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:26, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:26, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:27, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:28, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:28, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:29, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 10:48:29, 192.168.0.202, jinpeng, IM, 帐号不存在! (Error 20001)
2012-05-29 12:06:33, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-29 12:06:33, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-30 16:46:32, 192.168.0.202, jxjinpeng, IM, 密码验证错误! (Error 20002)
2012-05-30 17:59:58, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-30 17:59:58, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-05-31 11:38:35, 192.168.0.136, gx.nc.jxjinpeng, IM, 帐号不存在! (Error 20001)
2012-05-31 11:39:15, 192.168.0.136, jxjinpeng, IM, 帐号不存在! (Error 20001)
